,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
0,0.533,0.638,4,-7.13,1,0.0341,0.202,0.0,0.0729,0.937,156.663,153760,4,10
1,0.612,0.924,9,-3.877,1,0.0316,0.159,4.34e-05,0.103,0.96,115.953,295987,4,3
2,0.741,0.727,5,-4.174,0,0.151,0.0205,0.0,0.264,0.37,130.023,263360,4,5
3,0.597,0.463,7,-5.528,1,0.0371,0.824,0.0,0.107,0.227,115.837,229840,4,9
4,0.743,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.96,289133,4,7
5,0.578,0.426,2,-9.171,1,0.0289,0.117,0.0,0.0772,0.275,128.319,266733,4,9
6,0.587,0.622,4,-5.535,1,0.0303,0.0927,0.000636,0.2,0.231,107.943,277573,4,9
7,0.637,0.843,5,-5.413,1,0.0432,0.0151,0.0,0.0876,0.434,109.012,220733,4,3
8,0.754,0.804,4,-3.177,1,0.0853,0.00332,0.0,0.0329,0.818,119.968,203867,4,3
9,0.918,0.609,10,-5.64,0,0.0791,0.0928,0.0,0.139,0.304,128.008,231400,4,5
10,0.674,0.89,1,-4.446,0,0.0459,0.203,0.0,0.0819,0.737,97.02,216773,4,5
11,0.755,0.832,2,-2.741,0,0.116,0.0746,1.27e-06,0.291,0.735,120.032,199693,4,5
12,0.729,0.756,8,-5.119,1,0.0294,0.131,0.0,0.0527,0.522,104.945,228293,4,3
13,0.744,0.741,1,-4.981,1,0.0572,0.0271,0.00256,0.0928,0.562,128.023,215760,4,1
14,0.8,0.639,4,-7.406,0,0.0439,0.00123,0.0,0.0803,0.45,129.443,226027,4,5
15,0.566,0.705,0,-7.569,1,0.0311,0.43,0.0,0.109,0.781,168.152,279400,4,10
16,0.653,0.604,8,-6.017,1,0.0278,0.0292,0.0,0.097,0.101,118.016,184400,4,9
17,0.541,0.864,1,-4.915,1,0.0357,0.00118,0.0,0.0896,0.435,124.557,216067,4,1
18,0.459,0.51,10,-9.994,1,0.078,0.785,0.0,0.0861,0.582,166.457,188067,4,10
19,0.85,0.398,7,-9.816,1,0.0534,0.0117,0.0,0.263,0.713,99.717,258113,4,3
20,0.837,0.462,0,-7.89,1,0.0601,0.0339,0.0,0.09,0.762,139.986,201400,4,1
21,0.649,0.552,1,-5.419,0,0.0292,0.03,6.47e-06,0.111,0.158,89.969,253813,4,9
22,0.446,0.764,10,-5.042,1,0.033,0.00135,0.0,0.099,0.543,172.094,223840,4,10
23,0.722,0.76,9,-4.459,1,0.0478,0.0118,0.0,0.294,0.627,128.018,201253,4,3
24,0.386,0.607,10,-7.7,1,0.0261,0.0112,1.38e-05,0.088,0.532,147.207,425653,4,9
25,0.894,0.791,2,-4.699,1,0.112,0.0183,0.0,0.0388,0.583,105.018,250373,4,1
26,0.686,0.457,11,-8.322,1,0.0468,0.595,0.0,0.105,0.718,150.953,242187,4,0
27,0.618,0.741,2,-3.95,1,0.031,0.17,0.0,0.0822,0.296,118.984,235267,4,9
28,0.671,0.939,8,-3.206,1,0.161,0.191,0.0,0.298,0.53,129.024,252307,4,3
29,0.586,0.43,0,-7.338,1,0.0547,0.597,0.0,0.249,0.446,154.907,148227,4,10
