,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster,id
0,0.533,0.638,4,-7.13,1,0.0341,0.202,0.0,0.0729,0.937,156.663,153760,4,10,3ohLnESFgYACPMCkoTOzqE
1,0.612,0.924,9,-3.877,1,0.0316,0.159,4.34e-05,0.103,0.96,115.953,295987,4,3,3i3GeK0qLQybu4ah42YmCY
2,0.741,0.727,5,-4.174,0,0.151,0.0205,0.0,0.264,0.37,130.023,263360,4,5,70dWrqAp30TmWeibQkn0i7
3,0.597,0.463,7,-5.528,1,0.0371,0.824,0.0,0.107,0.227,115.837,229840,4,9,41DYHkqBtk7LawsUUnzAMW
4,0.743,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.96,289133,4,7,4vp2J1l5RD4gMZwGFLfRAu
5,0.578,0.426,2,-9.171,1,0.0289,0.117,0.0,0.0772,0.275,128.319,266733,4,9,5VJlvaPufnazmTvt2sHQqc
6,0.587,0.622,4,-5.535,1,0.0303,0.0927,0.000636,0.2,0.231,107.943,277573,4,9,11EX5yhxr9Ihl3IN1asrfK
7,0.637,0.843,5,-5.413,1,0.0432,0.0151,0.0,0.0876,0.434,109.012,220733,4,3,24lMtPOCzP5g4hrg3NklLa
8,0.754,0.804,4,-3.177,1,0.0853,0.00332,0.0,0.0329,0.818,119.968,203867,4,3,1DqdF42leyFIzqNDv9CjId
9,0.918,0.609,10,-5.64,0,0.0791,0.0928,0.0,0.139,0.304,128.008,231400,4,5,0CAfXk7DXMnon4gLudAp7J
10,0.674,0.89,1,-4.446,0,0.0459,0.203,0.0,0.0819,0.737,97.02,216773,4,5,6mghCOaaSvrke0z1EUVUIf
11,0.755,0.832,2,-2.741,0,0.116,0.0746,1.27e-06,0.291,0.735,120.032,199693,4,5,5OMwQFBcte0aWFJFqrr5oj
12,0.729,0.756,8,-5.119,1,0.0294,0.131,0.0,0.0527,0.522,104.945,228293,4,3,1CkvWZme3pRgbzaxZnTl5X
13,0.744,0.741,1,-4.981,1,0.0572,0.0271,0.00256,0.0928,0.562,128.023,215760,4,1,1bLG2x4ePXBr6TXFBOmXRk
14,0.8,0.639,4,-7.406,0,0.0439,0.00123,0.0,0.0803,0.45,129.443,226027,4,5,4EEGHbMUyS07PNVXSGB7Qg
15,0.566,0.705,0,-7.569,1,0.0311,0.43,0.0,0.109,0.781,168.152,279400,4,10,7xUVverKyPPPAW3sDqXhfi
16,0.653,0.604,8,-6.017,1,0.0278,0.0292,0.0,0.097,0.101,118.016,184400,4,9,6ucR4KfvsBFWCMVFDvyKKl
17,0.541,0.864,1,-4.915,1,0.0357,0.00118,0.0,0.0896,0.435,124.557,216067,4,1,0wqOReZDnrefefEsrIGeR4
18,0.459,0.51,10,-9.994,1,0.078,0.785,0.0,0.0861,0.582,166.457,188067,4,10,4TioZs1Pk7z7x99QXaSZNF
19,0.85,0.398,7,-9.816,1,0.0534,0.0117,0.0,0.263,0.713,99.717,258113,4,3,2fyTojfPYs67KBWN4WYRX7
20,0.837,0.462,0,-7.89,1,0.0601,0.0339,0.0,0.09,0.762,139.986,201400,4,1,3LmvfNUQtglbTrydsdIqFU
21,0.649,0.552,1,-5.419,0,0.0292,0.03,6.47e-06,0.111,0.158,89.969,253813,4,9,0JEqGkvUiMTQmFY6sgL9kg
22,0.446,0.764,10,-5.042,1,0.033,0.00135,0.0,0.099,0.543,172.094,223840,4,10,0gmbgwZ8iqyMPmXefof8Yf
23,0.722,0.76,9,-4.459,1,0.0478,0.0118,0.0,0.294,0.627,128.018,201253,4,3,2LNbLA2JSQlv6NRz1xdZRj
24,0.386,0.607,10,-7.7,1,0.0261,0.0112,1.38e-05,0.088,0.532,147.207,425653,4,9,0aym2LBJBk9DAYuHHutrIl
25,0.894,0.791,2,-4.699,1,0.112,0.0183,0.0,0.0388,0.583,105.018,250373,4,1,5rb9QrpfcKFHM1EUbSIurX
26,0.686,0.457,11,-8.322,1,0.0468,0.595,0.0,0.105,0.718,150.953,242187,4,0,1EzrEOXmMH3G43AXT1y7pA
27,0.618,0.741,2,-3.95,1,0.031,0.17,0.0,0.0822,0.296,118.984,235267,4,9,1vrd6UOGamcKNGnSHJQlSt
28,0.671,0.939,8,-3.206,1,0.161,0.191,0.0,0.298,0.53,129.024,252307,4,3,4QNpBfC0zvjKqPJcyqBy9W
29,0.586,0.43,0,-7.338,1,0.0547,0.597,0.0,0.249,0.446,154.907,148227,4,10,7j2z9RJqwUdP7qXDvnnvp8
30,0.705,0.725,4,-7.435,1,0.0506,0.0352,0.0149,0.194,0.76,92.186,166693,4,1,4VSyH8AkIt3kaR5xIPFVVi
31,0.741,0.868,1,-8.589,1,0.0527,0.249,2.19e-06,0.0945,0.947,103.201,251797,4,1,7obdw7ZGr6l1GqSBkFiY11
32,0.638,0.826,8,-4.968,1,0.0479,0.139,0.0,0.0803,0.649,124.072,227880,4,3,4lCv7b86sLynZbXhfScfm2
33,0.657,0.695,2,-4.493,1,0.0321,0.0108,0.0,0.0822,0.683,65.997,212107,4,1,7LP4Es66zdY7CyjepqmvAg
34,0.569,0.722,0,-8.914,1,0.0393,0.225,0.0,0.108,0.965,142.736,159640,4,1,79s3pSe1u6ggQBEwVPm58Z
35,0.502,0.772,0,-6.205,1,0.0322,0.595,2.47e-06,0.199,0.935,79.463,165613,4,1,1CSLeVCXmetBh8IkTPMFdL
36,0.708,0.641,7,-4.296,1,0.0335,0.205,0.0,0.0945,0.253,113.082,268120,4,9,3Q4WeJmzxuDpzMu9QjQqbM
37,0.66,0.867,6,-4.285,0,0.116,0.11,0.0,0.0368,0.377,93.033,180480,4,5,6lV2MSQmRIkycDScNtrBXO
38,0.666,0.878,7,-2.85,0,0.0973,0.03,0.0,0.0828,0.669,119.932,222160,4,5,5tXyNhNcsnn7HbcABntOSf
39,0.911,0.551,8,-3.75,0,0.0449,0.132,4.12e-05,0.0863,0.969,92.887,265867,4,5,3aw9iWUQ3VrPQltgwvN9Xu
40,0.551,0.527,3,-7.119,1,0.0302,0.45,0.0,0.0867,0.642,133.758,212560,4,0,7wCH9DbgRs7ujHeqNy6oAS
41,0.822,0.737,1,-4.542,0,0.0314,0.0261,4.19e-05,0.18,0.753,118.994,241933,4,5,6HkjpGIOHv4y0IBAxUbE5z
42,0.598,0.496,5,-5.882,0,0.0251,0.063,0.000121,0.197,0.547,105.046,240760,4,5,5ojyTgfdr45ghHdTTQcx3a
43,0.638,0.656,5,-5.886,1,0.0357,0.188,0.0,0.146,0.225,104.036,262467,4,9,7wZUrN8oemZfsEd1CGkbXE
44,0.609,0.444,7,-9.129,1,0.106,0.603,6.86e-06,0.104,0.166,118.402,228707,3,11,3XVBdLihbNbxUwZosxcGuJ
45,0.61,0.41,11,-9.215,0,0.0317,0.442,0.0,0.113,0.116,109.962,270605,4,8,1wyNvV8uXr35T8ChEypf8n
46,0.49,0.715,7,-5.549,1,0.0476,0.386,0.0,0.311,0.866,130.726,145747,4,10,4pbG9SUmWIvsROVLF0zF9s
47,0.559,0.33,9,-8.251,1,0.0285,0.892,0.0,0.0975,0.285,135.109,285040,4,2,4kflIGfjdZJW4ot2ioixTB
48,0.656,0.578,7,-8.97,0,0.0922,0.235,0.0,0.118,0.556,94.514,256733,4,8,3ibKnFDaa3GhpPGlOUj7ff
49,0.832,0.553,7,-13.705,1,0.0487,0.0422,0.00356,0.249,0.89,119.825,215693,4,3,6Lphpr9Z6H282Sguw0dUWa
50,0.68,0.687,9,-6.162,0,0.0709,0.0161,0.0,0.261,0.467,150.053,249533,4,5,3tvWMBIblzT5FSjKtIeRR1
51,0.871,0.597,5,-4.932,0,0.0464,0.126,0.000113,0.0638,0.635,125.999,234000,4,5,5z7mYFfhw6N6f23VwrokJD
52,0.561,0.579,5,-6.022,0,0.0243,0.0343,0.0,0.0613,0.55,74.824,349640,3,5,794U3ttupMPMfgZo0CT6NF
53,0.867,0.857,9,-5.892,1,0.0663,0.13,0.00171,0.13,0.402,130.048,251440,4,3,7xRNsqOQOgWbHV1nbXnfXN
54,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,242373,4,8,1mea3bSkSGXuIRvnydlB5b
55,0.781,0.745,4,-5.81,0,0.0332,0.198,1.14e-05,0.36,0.326,129.998,269493,4,5,3r04p85xiJh9Wqk59YDYdc
56,0.32,0.377,0,-13.229,1,0.03,0.179,0.849,0.204,0.855,186.138,142320,3,6,42asNpcCm66g802zFqQ1Ix
57,0.583,0.786,2,-3.142,0,0.0301,0.0208,0.0,0.188,0.573,123.055,258827,4,5,4E6cwWJWZw2zWf7VFbH7wf
58,0.629,0.696,1,-5.572,0,0.348,0.0195,0.0,0.0554,0.623,93.034,207627,4,4,1PS1QMdUqOal0ai3Gt7sDQ
59,0.791,0.754,0,-3.729,1,0.0569,0.00446,0.0,0.163,0.425,125.014,234653,4,1,6tS3XVuOyu10897O3ae7bi
60,0.813,0.882,7,-7.575,1,0.0402,0.0908,0.00457,0.147,0.874,125.983,236933,4,3,3pEuO9J2MTEmec8kUfYYvl
61,0.757,0.647,2,-10.264,1,0.0299,0.757,3.08e-06,0.0972,0.97,122.771,169627,4,0,4GAI8BxeMgrvhZNEU59UfR
62,0.745,0.894,8,-4.811,1,0.0376,0.154,0.000646,0.0753,0.971,87.498,148520,4,3,6FXjVsmKPW93LXRFYhfmmw
63,0.296,0.584,0,-8.648,1,0.0382,0.153,4.72e-05,0.0757,0.499,118.144,287507,4,9,3OQJESR29iahOFOvLYCB9E
64,0.541,0.504,11,-14.191,0,0.457,0.375,0.0,0.421,0.707,68.482,192040,4,4,0xxZY5C9xxij3D1HkzbnfC
65,0.933,0.528,5,-6.472,0,0.162,0.112,0.329,0.163,0.756,109.975,214653,4,5,57JVGBtBLCfHw2muk5416J
66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,250547,4,9,3y4LxiYMgDl4RethdzpmNe
67,0.736,0.74,0,-2.18,1,0.0786,0.515,0.0,0.0468,0.803,140.141,221933,4,1,66TRwr5uJwPt15mfFkzhbi
68,0.706,0.841,7,-3.956,1,0.0418,7.95e-05,0.0,0.0688,0.861,132.032,220227,4,3,1y4eb6hmAvsqlDOl3fx9kk
69,0.851,0.806,4,-4.618,1,0.0786,0.12,1.33e-06,0.121,0.776,119.001,237200,4,1,0WfKDYeUAoLA3vdvLKKWMW
70,0.603,0.872,5,-5.404,0,0.0792,0.0213,0.0,0.366,0.691,150.104,206373,4,5,4z8ssgZfs5TzKiO8HaGWXO
71,0.761,0.639,5,-7.577,0,0.0539,0.0359,0.0,0.0945,0.922,164.088,219120,4,5,47TqCCnEliDp8NRDyIQoQq
